Name,Party,Party URI,Date,Biscuit
Jeremy Corbyn,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2016-09-19,Shortbread
Owen Smith,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2016-08-23,Custard Creams
Tim Farron,Liberal Democrats,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:90/,2016-07-19,Custard Creams
Nicola Sturgeon,SNP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:102/,2016-06-21,Tunnock's Caramel Wafer
Alan Johnson,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2016-05-24,Chocolate Digestive
Zac Goldsmith,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2016-04-27,Chocolate Digestive
Dan Jarvis,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2016-04-26,Garibaldi
Sadiq Khan,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2016-04-25,Milk Chocolate Hobnobs
Mhairi Black,SNP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:102/,2016-01-12,Tunnocks Caramel Wafer
Sophie Walker,Women's Equality Party,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:2755/,2015-04-16,Didn't Answer
Andy Burnham,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2015-07-28,None
Liz Kendall,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2015-07-28,None
Jeremy Corbyn,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2015-07-28,Didn't Answer
Yvette Cooper,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2015-07-28,Chocolate Hobnobs
Nicola Sturgeon,SNP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:102/,2015-05-05,Tunnocks Caramel Wafer
Natalie Bennett,Green,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:63/,2015-03-03,Macaroons
Alistair Darling,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2014-09-10,Tunnocks Caramel Wafer
Alex Salmond,SNP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:102/,2014-09-10,Jim Walkerâ€™s plain chocolate ginger shortbread
Harriet Harman,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2015-08-07,Not Asked
Ed Davey,Liberal Democrats,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:90/,2013-02-11,Fig Roll
Jacqui Smith,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2012-12-03,Husband's homemade biscuits
Stella Creasy,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2012-09-25,Fox's Viennese
Lord Adonis,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2012-09-21,Jaffa Cakes
Andrew Mitchell,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2012-07-06,Caramel chocolate digestives
Jenny Jones,Green,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:63/,2012-04-27,M&S dark chocolate ginger
Siobhan Benita,Independent,,2012-05-01,Shortbread finger
Lawrence Webb,Independent,,2012-05-01,Sainsbury's bourbon
Ken Livingstone,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2012-04-18,White chocolate finger
Boris Johnson,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2012-04-16,Chocolate Digestive
Ed Miliband,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2011-12-01,Jaffa cake
Nigel Farage,UKIP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:85/,2011-02-24,Didn't Answer
Alex Salmond,SNP,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:102/,2011-02-10,Plain chocolate caramel wafers
Nick Clegg,Liberal Democrats,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:90/,2010-01-04,Didn't answer
Douglas Alexander,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2010-02-25,Chocolate Leibnitz
Ed Miliband,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2009-12-01,Jaffa Cake
David Cameron,Conservative,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:52/,2009-11-17,Oatcakes with butter and cheese
Gordon Brown,Labour,https://candidates.democracyclub.org.uk/api/v0.9/organizations/party:53/,2009-10-16,Anything with a bit of chocolate
